client_id,name,email,date_of_birth,country,account_type,account_balance,account_open_date,phone_number,address,risk_tolerance,account_currency
fc8a3d1e,Joseph Bryant,fuentesdavid@example.net,2004-11-22,Mexico,standard,33087.18,2023-11-22,846.296.5978x457,"91586 Martinez Forest Apt. 135
Port Matthewhaven, SC 22318",low,GBP
cb5b3f4c,Christopher Johnson,ifletcher@example.net,1970-12-06,Armenia,standard,8520.28,2002-10-30,(953)836-3542,"767 Timothy Mill
North Rebecca, GA 96292",low,EUR
dafb6986,Tanya Lopez,jason38@example.com,2006-06-16,Haiti,premium,68399.74,2024-09-15,612.875.2084,"06009 April Vista Suite 610
Port Charlesmouth, KS 00525",medium,USD
782a9231,Nicholas Williams,omoore@example.com,1992-11-18,British Indian Ocean Territory (Chagos Archipelago),standard,13639.56,2024-06-06,(971)607-2201x650,"81476 Andrew Key
West Andrew, LA 08674",low,USD
e763f117,Robert Harris,jocelynlewis@example.org,1990-12-19,Mauritius,standard,28832.18,2016-08-26,(939)925-5201,"935 Hood Dale
Alexanderborough, AZ 18211",low,USD
f823ad35,Kimberly Frye,larrycooper@example.org,1994-11-05,Jersey,standard,24501.81,2016-12-06,252.311.4539,"USNS Santiago
FPO AE 20423",low,EUR
38f6b7f0,Nicole Brown,carolyn62@example.com,1947-07-06,Cameroon,standard,46015.88,2004-02-21,(981)652-0284x3792,"389 Daniel Causeway
Marshallside, SC 08694",low,GBP
b77f93f8,Lindsay Vazquez,mendozarobert@example.com,1944-04-07,Belgium,standard,36185.47,1989-11-13,(931)808-8310x80943,"02988 Hernandez Extension
South Jamesbury, IN 29303",low,GBP
faf48ac6,Norma Dixon,heather14@example.com,1967-01-22,Albania,premium,162849.55,2019-02-13,653-625-6656,"54122 Tracy Pines
New Betty, MA 99493",medium,GBP
a84fef13,Monique Munoz,tsmith@example.com,1982-08-11,Mongolia,standard,23539.53,2024-01-20,439-431-7705x0480,"3789 Bridget Rue Apt. 484
Port Cindyport, PR 17570",low,USD
5a9ff8b4,Elizabeth Thomas,cooperteresa@example.net,1995-01-29,French Polynesia,premium,115620.65,2018-11-30,444-207-4192x92917,"0912 Meyer Meadow Suite 940
Adamsburgh, TX 60397",medium,GBP
76783d92,Tyler Thompson,lgould@example.com,1962-09-11,Falkland Islands (Malvinas),standard,42193.4,1985-03-24,001-279-229-8265x10581,"3213 Sellers Causeway Apt. 000
Crawfordmouth, CA 91441",low,USD
15890875,Lauren Clark,rojasvirginia@example.net,1997-07-05,Anguilla,premium,151527.52,2022-10-19,617.448.9529,"117 Donaldson Villages
North Charles, LA 71680",medium,EUR
d88a72e3,Stephanie Potts,wwagner@example.org,1986-03-13,Iraq,premium,120131.04,2013-01-25,001-383-748-9725,"Unit 4924 Box 3983
DPO AP 71019",medium,USD
1f621ae2,Caitlin Harvey,jonathanwagner@example.net,1952-06-08,El Salvador,standard,17843.53,2009-04-17,627.668.8229x7114,"3212 Tracy Motorway
Lake Heatherstad, AR 90067",low,EUR
a931f309,Nancy Carrillo,gelliott@example.net,1998-09-29,Grenada,premium,188019.57,2021-05-02,(723)330-2810,"456 Kimberly Drive
Davidshire, GA 80735",medium,EUR
f1b698b9,Brian Turner,curtis84@example.net,1983-01-16,Saint Martin,standard,5739.93,2005-03-30,903.789.7396x819,"30244 Wade Roads
West Shane, NM 76334",low,USD
2b0d437f,Megan Diaz,brownjennifer@example.net,1962-01-27,Cameroon,standard,29897.14,1986-04-10,328.363.8045x5071,"3969 Rickey Unions Apt. 772
Port Cynthia, CO 73528",low,GBP
3dbd4b50,Nicholas Mccall,trannicholas@example.net,1980-07-31,Haiti,standard,48466.62,2007-09-26,001-799-926-9891x538,"4001 Ross Islands
Denisefurt, GA 97206",low,USD
0aaac905,David Hines,anthony84@example.org,2001-05-20,Montserrat,standard,36712.08,2022-04-04,001-350-928-3066x2296,"1291 Scott Roads
East Amandaside, MS 55630",low,EUR
e33cefb2,Kathryn Johnson,ashleypham@example.net,2006-01-22,Germany,standard,46083.27,2024-03-03,+1-295-624-7617x0346,"289 Skinner Turnpike
South Rebecca, CT 16323",low,USD
bf4e9d59,David Cole,cespinoza@example.org,1948-08-12,Solomon Islands,corporate,997149.91,2013-07-19,001-714-898-2115,"0171 Henry Viaduct
New Heather, CT 52513",high,USD
1b988582,Danielle Smith,amanda21@example.com,1950-07-11,Swaziland,premium,163374.76,2021-05-15,695-429-3568x2868,"329 Huber Mews Suite 535
Gregoryfort, AL 67242",medium,USD
69c1c2ea,Emily Lopez,kayla43@example.org,1960-08-02,Malaysia,standard,24196.2,1988-01-26,599-988-2720x9795,"303 Kyle Park Suite 287
Port Bradley, IN 12098",low,USD
fb0af316,Kristi Wright,mgross@example.org,1988-03-20,Japan,standard,34228.22,2010-10-21,693-535-9743x0498,"37745 Robert Club
West Lindsay, PW 74846",low,EUR
ee21c4d9,William Hoffman,jvaldez@example.net,1969-06-24,Tuvalu,standard,13930.76,2020-05-04,001-634-569-2326,"201 Steven Island Suite 654
Shafferfort, AS 53335",low,GBP
1ea7e935,Christine Lara,gracemills@example.org,1990-06-13,Saint Barthelemy,premium,115380.18,2012-12-22,898-870-5438,"2214 Andrea Center
Stevenstad, VT 32468",medium,EUR
324deaff,Ryan Contreras,robinsonjenna@example.org,1958-03-29,Kuwait,standard,19258.2,1985-03-12,6023266886,"7843 Joyce Street
Adamsberg, ND 47352",low,USD
4b2c2226,Daniel Smith,judywilliamson@example.com,1998-02-18,Moldova,premium,83058.02,2017-05-07,+1-489-336-2959x714,"PSC 9970, Box 8318
APO AP 13395",medium,EUR
a29b4a7a,Robert Brewer,tiffanyhodge@example.com,1982-05-28,Bosnia and Herzegovina,standard,8254.7,2009-06-29,001-987-243-4254x3086,"6929 Marissa Wall
Danaberg, AK 85608",low,EUR
6ee6acc4,Louis Graham,kimnicole@example.org,1973-08-03,Nigeria,standard,37763.89,1996-04-10,+1-271-579-6946x741,"00361 Melissa Villages Suite 249
Baileyburgh, NV 18363",low,EUR
bd2cd38f,Kyle Campbell,calvinstone@example.org,1999-05-21,Bouvet Island (Bouvetoya),standard,42161.42,2019-10-13,(621)353-1277x5704,"128 Jeffery Ridges Suite 118
Hillton, HI 80438",low,EUR
32a94889,John Mccormick,bnewton@example.com,1967-08-08,Burundi,standard,26017.8,2013-05-14,724-518-5695x82675,"552 Bush Circle
South Shawn, MT 45888",low,GBP
d76a48ff,Nichole Davis,samantha32@example.com,1965-01-26,Cote d'Ivoire,standard,28578.81,1994-06-21,4384194980,"3789 Aguilar Summit Suite 840
Timothystad, PA 60828",low,USD
22b74180,Kent Frost,jesusbrown@example.net,2004-10-09,Sri Lanka,standard,22523.77,2023-11-05,+1-895-865-8834,"823 Gary Hollow Apt. 216
South Williamtown, PA 79154",low,GBP
aedc15b1,Joel Smith,dawnbrandt@example.net,1950-12-30,Tokelau,premium,105021.39,2017-12-27,(474)442-5178,"741 Terri Branch Apt. 578
Richardtown, ID 19809",medium,GBP
241331d4,Kimberly Peterson,abigailroach@example.com,1977-07-04,Andorra,standard,48561.37,2000-04-23,(936)897-7540x29767,"21502 Ashley Stravenue Suite 403
Wendyfort, VI 04085",low,USD
bda2e317,Diana Cunningham PhD,hurleyaaron@example.com,1957-10-10,Papua New Guinea,premium,145583.27,1987-01-29,827-657-2215x136,"864 Erica Drive
Wilsonfurt, NE 52654",medium,EUR
ed457baa,Manuel Martin,twalker@example.net,1968-05-21,Argentina,standard,15368.62,1997-05-21,407.285.4458,"952 Le Common Suite 016
South Shannonville, TN 32328",low,USD
d979b996,Anne Lewis,victoriabaxter@example.org,1947-04-19,Haiti,standard,43257.43,1969-09-28,(270)508-7546,"986 Steven Trace
Crystalhaven, ND 90466",low,EUR
6a793c5a,Christopher Davis,jameswilliams@example.com,1993-05-26,Luxembourg,standard,5243.98,2020-11-29,369-924-8553,"8407 Amanda Walk Apt. 620
Loritown, DE 43679",low,USD
5afc1ebd,Natasha Jones,fisherarthur@example.net,1999-07-31,Iraq,standard,21267.45,2024-02-06,280.455.9187x395,"6954 Hendrix Expressway Suite 605
Patriciatown, IN 33179",low,EUR
4bdd2dc6,Alan Palmer,mark37@example.org,1978-10-01,Ecuador,premium,57304.19,2018-01-30,(655)431-9276x134,"USNS Gentry
FPO AA 38630",medium,EUR
2b646dd3,Michael Parker,tmarsh@example.org,1982-11-12,Bolivia,standard,28772.54,2014-01-30,001-608-536-3363x4909,"017 Martin Overpass Suite 130
Port Kendra, DC 62251",low,GBP
b102a540,Michael Brown,betty80@example.org,1946-07-07,Grenada,premium,156886.53,1979-05-20,+1-878-976-9555x93723,"2203 Bailey Island Suite 526
Lake Jefferyborough, DE 45631",medium,EUR
985f985f,Thomas Byrd,tylerdawn@example.net,2006-01-28,Congo,standard,19771.02,2024-03-20,(995)801-0580x1040,"1865 Jordan Viaduct Suite 883
Martinezburgh, AK 42460",low,USD
29ec006c,Alan Mack,wjackson@example.net,1998-10-02,Puerto Rico,corporate,434165.44,2017-05-26,(795)456-8137,"2820 Joanna Cliff
Lake Nataliemouth, IL 39835",high,GBP
8b8a33d0,Michelle Johnson,gonzalezjonathan@example.net,1944-06-12,Mongolia,standard,29318.21,1980-01-11,+1-661-512-5350x3252,"36996 Sutton Meadows Apt. 640
East Ivan, FL 09845",low,GBP
8cc9472a,Luis Bell,maymary@example.com,1957-11-04,Congo,premium,119256.82,1985-07-19,882.802.0263,"013 Andrew Prairie Suite 050
Christopherland, WY 83826",medium,USD
6ef657aa,Sergio Golden,micheleburton@example.com,1972-02-22,Guyana,premium,176604.92,2019-02-21,455-522-3378x182,"84720 Pena Plaza Apt. 811
Solisfurt, TX 01232",medium,EUR
545353de,James Cooper,michellecase@example.net,1956-01-15,Pakistan,premium,71716.69,2022-06-03,+1-492-868-2745,"82439 Jacob Summit
West Benjamintown, DC 24858",medium,USD
10e76e9a,Lawrence Rogers,carpenterbrenda@example.net,1995-05-01,China,standard,48833.43,2016-03-19,(918)874-3724x715,"04928 Norton Lock Apt. 302
Cherryfurt, GU 19242",low,EUR
a33761ee,Rachel Sweeney,blackburnrenee@example.com,1960-03-02,Paraguay,premium,162576.04,2013-05-18,(426)427-9742x135,"252 Hall Crescent
New Tammyfort, TX 54367",medium,USD
10ee866d,Brenda Jacobson,scotteric@example.net,1957-08-01,Israel,corporate,832834.27,2008-11-09,834-328-2490x681,"Unit 3829 Box 8432
DPO AA 24711",high,EUR
9c80f45a,Danielle Silva,patriciamyers@example.com,2000-09-03,United States Virgin Islands,standard,17513.84,2018-09-24,3474286079,"7145 Brown Lane
Perezshire, TN 27630",low,USD
6ed43c70,Matthew Smith,allisonwarner@example.com,2000-09-01,Nepal,premium,120628.96,2021-08-15,(482)393-7693x85262,"262 Owens Station Suite 101
Jenniferland, NC 86988",medium,GBP
901c6cd0,Douglas Atkinson,zmichael@example.org,1996-11-30,Guam,standard,45916.82,2017-01-09,+1-398-957-9451x4696,"066 Matthew Pass
Higginsfort, KY 42858",low,USD
3af9ec06,Mallory Harrell,ylee@example.org,1984-07-15,Cyprus,standard,29752.22,2007-04-28,001-511-375-0922x01786,"4459 Martin River Apt. 542
Kellieland, WY 26481",low,EUR
658d5439,Beverly Jones MD,fernando53@example.net,1978-03-01,Sao Tome and Principe,premium,95460.91,2013-01-10,001-662-943-8057x5080,"21199 Thomas Islands Suite 363
Dunnmouth, TN 83011",medium,GBP
2463cc03,Andrea Perez,zmathews@example.com,1964-02-06,French Guiana,premium,191111.64,2022-05-28,442-956-5294x0488,"2186 Mariah Neck
East Natalieshire, MI 96330",medium,EUR
c066fda6,Leslie Garner,regina59@example.org,1997-11-17,Martinique,standard,7822.57,2020-10-18,791-794-2312x29351,"2044 Kyle Stravenue Suite 015
North Alyssa, OK 33852",low,EUR
906b66aa,Danielle Calderon,uandersen@example.com,1977-01-12,United States Virgin Islands,standard,33885.29,2016-04-17,+1-831-933-2307,"81813 Robin Branch Apt. 645
Lake Robertview, NE 26424",low,USD
a9835690,Scott Kelly,christopher36@example.net,1974-06-16,Saint Pierre and Miquelon,standard,26604.97,2013-03-01,2814622174,"3445 Fisher Plains
Candiceburgh, NC 99021",low,GBP
14c55736,Brandon Mack,gregory07@example.com,1944-03-09,Bouvet Island (Bouvetoya),standard,7675.43,1998-08-15,938-949-3994x8449,"2498 Hernandez Rue Apt. 695
Lake Monique, CO 99357",low,EUR
a800a5a9,Jeffery Guzman,ekeith@example.org,1953-12-07,Denmark,premium,112360.97,1988-08-01,212-812-4181,"122 Richard Ports
South Brendaborough, WA 54957",medium,USD
ca75a1ea,Brandi Day,robert27@example.org,1996-01-29,Trinidad and Tobago,standard,49704.92,2020-07-10,261.290.7284,"3487 Tara Loop Apt. 604
Port Francisco, PW 69114",low,USD
48a6e096,Daniel Young,griffintimothy@example.net,1990-06-08,Montenegro,standard,29112.37,2018-10-27,449-460-1830,"7802 Williams Ports Suite 834
Cookport, WV 43305",low,GBP
1ef0033b,Ashley Burton,victoriathomas@example.com,1967-12-10,New Caledonia,standard,31717.44,2007-05-26,569-300-9800x328,"53980 Sims Court
Scottchester, VA 75454",low,EUR
cd2e937c,Ronald Davila,keithhaynes@example.org,1960-01-09,Cyprus,standard,49033.17,2018-01-01,4206325547,"3508 Morris Crossing Suite 359
North Nathan, LA 26452",low,EUR
037c964b,Tina Phillips,sellerspamela@example.com,1985-05-10,Liechtenstein,standard,13596.25,2005-11-25,(581)515-1487x6373,"5784 Turner Forges Apt. 941
Williamtown, OR 19439",low,GBP
a3df8e41,Luke Rivera,deborahlewis@example.org,1971-08-05,French Guiana,standard,31910.21,1997-02-24,001-508-521-5779x27629,"2121 Myers Centers
East Ryan, PR 20306",low,GBP
ab0c549e,Nathan Bowen,carrollbrendan@example.com,1959-09-23,Belize,premium,158912.43,1981-06-25,+1-940-364-0655x0378,"16234 Andrew Fork
Port Kayla, FM 59127",medium,EUR
5bcdc738,Lisa Townsend DVM,froth@example.com,1956-12-07,Samoa,standard,43033.69,1999-08-10,(377)285-4656x396,"865 Spencer Meadows Suite 901
Lorettaborough, MS 60987",low,EUR
f1c9b2b4,Bruce Cole,castrogregory@example.org,1978-08-22,Latvia,standard,28396.41,2019-04-24,888-858-6871,"08662 Jaime Station Apt. 563
Douglaston, AS 22142",low,EUR
